Prompt1	Observation	Sql query	Sql Result	Human Response	Prompt2		
Find me images of Aurelia aurita	"To find the images from the database I need to format the output such that it is a json and has species array that has species concept as concept, image url as url, image id as image_id and species bounding box id as id
Since the prompt does not specify number of images. Limit the query to top 10 images"	"{
    ""sqlServerQuery"": ""SELECT TOP 10 i.url, i.id as image_id, b.concept, b.id FROM images i JOIN bounding_boxes b ON i.id = b.image_id WHERE b.concept = 'Aurelia aurita' FOR JSON PATH"",
    ""outputType"": ""images"",
    ""responseText"": ""Here are top 10 images of Aurelia Aurita""
}"	"[
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""image_id"": 2586149,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586151
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""image_id"": 2586149,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586152
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""image_id"": 2586149,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586153
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""image_id"": 2586149,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586154
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""image_id"": 2586149,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586155
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_03_31_28.png"",
        ""image_id"": 2586149,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586156
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0199\/00_01_04_07.png"",
        ""image_id"": 2586296,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2586298
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Ventana\/images\/3082\/04_59_42_11.png"",
        ""image_id"": 2587742,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2587744
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/0893\/06_13_15_15.png"",
        ""image_id"": 2588036,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2588038
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Ventana\/images\/2934\/05_23_41_12.png"",
        ""image_id"": 2589496,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2589498
    }
]"				
What is the maximum and minumum latitude and longitude of Atlantic Ocean	The prompt asks to find maximum and minumum latitude and longitude of Atlantic Ocean. It can be found based on the marine_regions table	"{
    ""sqlServerQuery"": ""SELECT min_latitude, min_longitude, max_latitude, max_longitude From marine_regions WHERE name = 'Atlantic Ocean' FOR JSON PATH"",
    ""outputType"": ""text"",
    ""responseText"": ""The maximum latitude of the Atlantic Ocean is {max_latitude}, and the minimum latitude is {min_latitude}. The maximum longitude of the Atlantic Ocean is {max_longitude}, and the minimum longitude is {min_longitude}.""

}"	"min_latitude min_longitude max_latitude max_longitude
-60	-83.008056640625	68.62359619140625	20"				
Find me images of Aurelia aurita in Monterey Bay	"To find the images from the database I need to format the output such that it is a json and has species array that has species concept as concept, image url as url, image id as image_id and species bounding box id as id
The prompt is asking image for a particular region, so its better to add the latitude and longitude information to the species data too. Since you need to find the images of Aurelia aurita in Monterey Bay, use the marine_regions table to lookup the Monterey Bay min/max latitude/longitude values to search for images.
Since the prompt does not specify number of images. Limit the query to top 10 images"	"{
    ""sqlServerQuery"": ""SELECT i.urlSELECT TOP 10 i.url, i.id as image_id, b.concept, b.id, i.latitude, i.longitude FROM images i JOIN bounding_boxes b ON i.id = b.image_id JOIN marine_regions mr ON i.latitude BETWEEN mr.min_latitude AND mr.max_latitude AND i.longitude BETWEEN mr.min_longitude AND mr.max_longitude WHERE b.concept = 'Aurelia aurita'     AND mr.name = 'Monterey Bay' FOR JSON PATH FROM images i JOIN bounding_boxes b ON i.id = b.image_id JOIN marine_regions mr ON i.latitude BETWEEN mr.min_latitude AND mr.max_latitude WHERE b.concept = 'Aurelia aurita' AND mr.name = 'Pacific Ocean'"",
    ""outputType"": ""images"",
    ""responseText"": ""Here are 10 images of Aurelia Aurita in Monterey Bay""
}"	"[
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590411,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590412,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590413,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590414,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590415,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590416,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590417,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590418,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590419,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590420,
        ""latitude"": 3.669970800000000e+001,
        ""longitude"": -1.220502030000000e+002
    }
]"				
Find me images of species 'Aurelia aurita' in Monterey bay and depth less than 5k meters	"You need to find the images from the database so you need to format the output such that it is a json and has species array that has species concept as concept, image url as url, image id as image_id and species bounding box id as id
The prompt asks for species at depth less than 5k, so add the depth data too.
Use the bounding_boxes, images and marine_regions table to find the species images"	"{
    ""sqlServerQuery"": ""SELECT TOP 10 i.url, i.id as image_id, b.concept, b.id, i.depth_meters FROM images i JOIN bounding_boxes b ON i.id = b.image_id JOIN marine_regions mr ON i.latitude BETWEEN mr.min_latitude AND mr.max_latitude WHERE b.concept = 'Aurelia aurita'     AND mr.name = 'Monterey bay'     AND i.depth_meters < 5000 FOR JSON PATH"",
    ""outputType"": ""images"",
    ""responseText"": ""Here are some images of Aurelia Aurita""
}"	"[
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590411,
        ""depth_meters"": 4.447999954223633e+001
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590412,
        ""depth_meters"": 4.447999954223633e+001
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590413,
        ""depth_meters"": 4.447999954223633e+001
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590414,
        ""depth_meters"": 4.447999954223633e+001
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590415,
        ""depth_meters"": 4.447999954223633e+001
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590416,
        ""depth_meters"": 4.447999954223633e+001
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590417,
        ""depth_meters"": 4.447999954223633e+001
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590418,
        ""depth_meters"": 4.447999954223633e+001
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590419,
        ""depth_meters"": 4.447999954223633e+001
    },
    {
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Tiburon\/images\/1111\/00_04_55_15.png"",
        ""image_id"": 2590409,
        ""concept"": ""Aurelia aurita"",
        ""id"": 2590420,
        ""depth_meters"": 4.447999954223633e+001
    }
]"				
Which location has the most Aurelia aurita	"The prompt asks for location that has the most Aurelia aurita. The prompt does not provide detail on what location would mean. So, use the marine_regions table and find the count of bounding boxes of Aurelia aurita in the regions, sort them from highest and smallest and output the top 15 results
"	"{
    ""sqlServerQuery"": ""SELECT TOP 10 r.name, COUNT(b.id) AS count FROM dbo.bounding_boxes b JOIN dbo.images i ON b.image_id = i.id JOIN dbo.marine_regions r ON i.latitude BETWEEN r.min_latitude AND r.max_latitude                   AND i.longitude BETWEEN r.min_longitude AND r.max_longitude WHERE b.concept = 'Aurelia aurita' GROUP BY r.name ORDER BY count DESC FOR JSON PATH"",
    ""outputType"": ""table"",
    ""responseText"": ""The table displays a list of places and the number of Aurelia Aurita found in each place""
}"	"name count
Global	110
California Current	110
North America	110
SeaVox Sea Areas	110
United States Exclusive Economic Zone	110
World	110
World Oceans	110
United States	109
California Borderland	109
Greater Monterey Bay	109
Monterey Bay	108
Monterey Bay Region	108
Pacific Northwest	1
Canadian Exclusive Economic Zone	1"				
What species are frequently found near Aurelia aurita?	"The prompt asks for frequently found species near Aurelia aurita without providing detail what frequent means numerically. So, find the number of images that have Aurelia aurita and another species. Use the bounding_boxes table to find another species that is near Aurelia aurita and output the name and the frequency
"	"{
    ""sqlServerQuery"": ""SELECT b2.concept AS species, COUNT(*) AS frequency FROM dbo.bounding_boxes b1 JOIN dbo.bounding_boxes b2 ON b1.image_id = b2.image_id WHERE b1.concept = 'Aurelia aurita' AND b2.concept <> 'Aurelia aurita' GROUP BY b2.concept ORDER BY frequency DESC FOR JSON PATH;"",
    ""outputType"": ""table"",
    ""responseText"": ""Here is a table showing a species found near Aurelia Aurita and it's frequency""
}"	"species frequency
Chrysaora fuscescens	211
Siphonophorae	20
Pyrosoma	4
Chrysaora	2
Mitrocomidae	1"				
How often are Aurelia aurita found near other species?	"The prompt does not provide what often would mean numerically, so first find all distinct images in the database that has Aurelia aurita. Now, find the images that have Aurelia aurita and another species. Now output the total AureliaImages and images that have other species
"	"{
    ""sqlServerQuery"": ""WITH AureliaImages AS (  SELECT DISTINCT image_id  FROM dbo.bounding_boxes  WHERE concept = 'Aurelia aurita'),OtherSpeciesInAureliaImages AS (  SELECT DISTINCT bb1.image_id  FROM dbo.bounding_boxes AS bb1  JOIN dbo.bounding_boxes AS bb2 ON bb1.image_id = bb2.image_id  WHERE bb1.concept = 'Aurelia aurita' AND bb2.concept != 'Aurelia aurita')SELECT   COUNT(*) AS 'Frequency',  (SELECT COUNT(*) FROM AureliaImages) AS 'TotalAureliaImages'FROM OtherSpeciesInAureliaImages FOR JSON PATH;"",
    ""outputType"": ""table"",
    ""responseText"": ""The number of Aurelia Aurita images is {TotalAureliaImages}. Out of it {frequency} contain other species""
}"	"Frequency TotalAureliaImages
9	45"				
"Display a bar chart illustrating the distribution of all species in Monterey Bay, categorized by ocean zones."	"The prompt asks to display a chart, I will be using vega lite to display it. I should first generate the vega lite schema and then generate a sql query that outputs the data that will be used by vega lite according to the schema"	"{{
    ""vegaSchema"": ""{'$schema': 'https://vega.github.io/schema/vega-lite/v4.json','mark': 'bar','encoding': {    'x': {'field': 'OceanZone', 'type': 'nominal'},    'y': {'field': 'SpeciesCount', 'type': 'quantitative'}}}"",
    ""sqlServerQuery"": ""SELECT      CASE          WHEN i.depth_meters <= 200 THEN 'Epipelagic'         WHEN i.depth_meters > 200 AND i.depth_meters <= 1000 THEN 'Mesopelagic'         WHEN i.depth_meters > 1000 AND i.depth_meters <= 4000 THEN 'Bathypelagic'         WHEN i.depth_meters > 4000 THEN 'Abyssopelagic'     END AS OceanZone,     COUNT(b.concept) AS SpeciesCount FROM      dbo.images i JOIN      dbo.bounding_boxes b ON i.id = b.image_id JOIN      dbo.marine_regions mr ON i.latitude BETWEEN mr.min_latitude AND mr.max_latitude                         AND i.longitude BETWEEN mr.min_longitude AND mr.max_longitude WHERE      mr.name = 'Monterey Bay' GROUP BY      CASE          WHEN i.depth_meters <= 200 THEN 'Epipelagic'         WHEN i.depth_meters > 200 AND i.depth_meters <= 1000 THEN 'Mesopelagic'         WHEN i.depth_meters > 1000 AND i.depth_meters <= 4000 THEN 'Bathypelagic'         WHEN i.depth_meters > 4000 THEN 'Abyssopelagic'     END ORDER BY OceanZone FOR JSON PATH"",
    ""outputType"": ""vegaLite"",
    ""responseText"": ""The table below displays the various depths and the corresponding distribution of Aurelia aurita at those depths.""
}"					
Find me an image containing both Aurelia aurita and Siphonophorae	"The prompt asks for an image of individual species so, You need to find the images from the database so you need to format the output such that it is a json and has species array that has species concept as concept, image url as url, image id as image_id and species bounding box id as id.
Also since you are showing images that has more than one species, add the bounding box data x, y, width, height.
Since you need to output data as species array, first you will get the image id that has both concepts. After that you can search the database using the image id to generate the data in json format with id, concept, url, image_id, x, y, width and height values
"	"{
    ""sqlServerQuery"": ""WITH ImageConcepts AS ( SELECT TOP 1 i.id as image_id FROM dbo.images i WHERE      EXISTS (         SELECT 1         FROM dbo.bounding_boxes b         WHERE b.image_id = i.id AND b.concept = 'Aurelia aurita'     )     AND EXISTS (         SELECT 1         FROM dbo.bounding_boxes b         WHERE b.image_id = i.id AND b.concept = 'Siphonophorae'     ) GROUP BY i.id) SELECT      b.id,     b.concept,     i.url,     i.id as image_id,     b.x,     b.y,     b.width,     b.height FROM      dbo.images i JOIN      dbo.bounding_boxes b ON i.id = b.image_id JOIN      ImageConcepts c ON c.image_id = i.id WHERE      b.concept IN ('Aurelia aurita', 'Siphonophorae') FOR JSON PATH"",
    ""outputType"": ""images"",
    ""responseText"": ""Here are some images containing both Aurelia aurita and Siphonophorae""
}"	"[
    {
        ""id"": 2600146,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1200,
        ""y"": 686,
        ""width"": 72,
        ""height"": 96
    },
    {
        ""id"": 2600148,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 170,
        ""y"": 364,
        ""width"": 72,
        ""height"": 66
    },
    {
        ""id"": 2600149,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1357,
        ""y"": 118,
        ""width"": 51,
        ""height"": 57
    },
    {
        ""id"": 2600150,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1434,
        ""y"": 715,
        ""width"": 50,
        ""height"": 74
    },
    {
        ""id"": 2600151,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 126,
        ""y"": 863,
        ""width"": 66,
        ""height"": 64
    },
    {
        ""id"": 2600152,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 9,
        ""y"": 805,
        ""width"": 82,
        ""height"": 76
    },
    {
        ""id"": 2600153,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 831,
        ""y"": 161,
        ""width"": 41,
        ""height"": 53
    },
    {
        ""id"": 2600158,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1598,
        ""y"": 69,
        ""width"": 77,
        ""height"": 111
    },
    {
        ""id"": 2600159,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1,
        ""y"": 279,
        ""width"": 41,
        ""height"": 75
    },
    {
        ""id"": 2600160,
        ""concept"": ""Siphonophorae"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 928,
        ""y"": 555,
        ""width"": 192,
        ""height"": 125
    },
    {
        ""id"": 2600161,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1018,
        ""y"": 372,
        ""width"": 80,
        ""height"": 82
    },
    {
        ""id"": 2600162,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 728,
        ""y"": 962,
        ""width"": 57,
        ""height"": 63
    },
    {
        ""id"": 2600163,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 963,
        ""y"": 65,
        ""width"": 39,
        ""height"": 64
    },
    {
        ""id"": 2600164,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 703,
        ""y"": 136,
        ""width"": 48,
        ""height"": 65
    },
    {
        ""id"": 2600165,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 796,
        ""y"": 359,
        ""width"": 57,
        ""height"": 53
    },
    {
        ""id"": 2600167,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1777,
        ""y"": 171,
        ""width"": 53,
        ""height"": 70
    },
    {
        ""id"": 2600169,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1154,
        ""y"": 583,
        ""width"": 35,
        ""height"": 48
    },
    {
        ""id"": 2600171,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1527,
        ""y"": 453,
        ""width"": 42,
        ""height"": 56
    },
    {
        ""id"": 2600174,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1314,
        ""y"": 183,
        ""width"": 40,
        ""height"": 62
    },
    {
        ""id"": 2600175,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 392,
        ""y"": 224,
        ""width"": 56,
        ""height"": 58
    },
    {
        ""id"": 2600176,
        ""concept"": ""Aurelia aurita"",
        ""url"": ""https:\/\/fathomnet.org\/static\/m3\/framegrabs\/Doc%20Ricketts\/images\/0971\/03_42_04_04.png"",
        ""image_id"": 2600144,
        ""x"": 1389,
        ""y"": 231,
        ""width"": 42,
        ""height"": 57
    }
]"				
What species are frequently found at 1000m depth?	"The prompt is asking the frequency of species found at depth of 1000m, so output freuqency data of species name with the frequency using the bounding_boxes and images table
"	"{
    ""sqlServerQuery"": ""SELECT b.concept AS species, COUNT(*) AS frequency FROM dbo.bounding_boxes AS b JOIN dbo.images AS i ON b.image_id = i.id WHERE i.depth_meters = 1000 GROUP BY b.concept ORDER BY frequency DESC FOR JSON PATH;"",
    ""outputType"": ""table"",
    ""responseText"": ""Here is a table with the species name and it's frequency""
}"	"species frequency
Isosicyonis	24
Sebastolobus	6
Embassichthys bathybius	4
Actiniaria	3
Ceriantharia	2
Chionoecetes tanneri	2
Corallimorphus	2
Eptatretus	2
Microstomus pacificus	2
Umbellula sp. 2	2"				
